Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,1,"PS (I-V)",1,"Department of Education",29,29,25,0,29,12,29,29,0,0,26,29,1,16,3,29,29,29,29,29,29,27,27,28,28,29,29,11,28,12,29,0,29,25,29,15,1,27
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,1,"PS (I-V)",2,"Tribal Welfare Department",2,2,2,0,2,0,2,2,0,0,2,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,2,2,2,0,2
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,1,"PS (I-V)",4,"Government Aided",6,6,4,0,1,1,6,6,0,0,6,6,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,1,5,2,6,0,6,2,6,3,1,2
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",13,13,13,0,7,2,13,13,1,0,13,13,0,6,1,13,13,13,13,13,13,13,13,13,13,13,13,9,11,2,13,0,13,0,10,4,5,9
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,1,"PS (I-V)",8,Unrecognized,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,2,"UPS (I-VIII)",1,"Department of Education",8,8,7,0,8,3,8,8,0,0,8,8,0,5,2,8,8,8,8,8,8,8,8,8,8,8,8,5,7,3,8,1,8,6,8,8,1,8
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,2,"UPS (I-VIII)",4,"Government Aided",3,2,3,0,2,2,3,3,0,0,3,3,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,0,3,3,3,3,2,2
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",2,2,2,0,2,2,2,2,2,0,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,1,0,2,2
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",2,2,2,0,2,2,2,2,0,0,2,2,1,1,0,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,5,"HSS (VI-XII)",1,"Department of Education",4,2,4,0,4,2,4,4,0,0,3,4,0,2,0,4,4,4,4,4,4,4,4,4,4,4,4,1,3,2,4,3,4,2,4,4,4,4
