Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,1,"PS (I-V)",1,"Department of Education",82,48,51,2,82,36,82,82,0,0,66,82,0,30,17,78,76,81,81,82,82,70,71,75,75,82,82,29,81,42,82,0,82,57,79,78,1,81
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,1,"PS (I-V)",4,"Government Aided",11,10,5,1,1,4,11,11,0,0,10,11,0,1,1,10,10,11,11,11,11,10,9,10,10,11,11,0,8,6,11,0,11,5,11,10,0,0
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",12,12,10,1,6,7,12,12,0,0,12,12,0,2,1,12,12,12,12,12,12,11,11,11,11,12,12,6,8,5,12,0,12,5,11,10,9,12
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,2,"UPS (I-VIII)",1,"Department of Education",18,10,13,0,18,8,18,18,0,0,16,18,0,9,4,18,17,18,18,18,18,17,18,18,18,18,18,10,17,9,18,4,18,12,18,18,6,18
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,2,"UPS (I-VIII)",4,"Government Aided",1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,5,"HSS (VI-XII)",1,"Department of Education",11,11,10,0,11,7,11,11,0,0,11,11,0,7,3,10,10,10,10,11,11,10,10,11,11,11,11,10,10,4,11,6,11,7,10,9,10,11
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,6,"SS (I-X)",5,"Private Unaided (Recognized)",3,3,3,0,3,2,3,3,0,0,3,3,0,2,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,0,3,1,3,3,3,3
2019-20,33,Tamilnadu,3307,VILLUPURAM,330701,MELMALAYANUR,Rural,6,"SS (I-X)",8,Unrecognized,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
