Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,1,"PS (I-V)",1,"Department of Education",58,57,46,2,58,8,58,58,0,0,51,58,0,24,20,57,57,58,58,58,58,57,55,57,57,58,58,55,58,24,58,0,58,56,55,47,0,19
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,1,"PS (I-V)",4,"Government Aided",2,2,2,1,0,1,2,2,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",5,5,5,0,3,2,5,5,0,0,5,5,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,0,5,0,5,3,0,3
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,2,"UPS (I-VIII)",1,"Department of Education",6,6,6,0,6,3,6,6,0,0,6,6,0,3,2,6,6,6,6,6,6,6,6,6,6,6,6,5,6,1,6,1,6,6,6,6,0,6
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,2,"UPS (I-VIII)",8,Unrecognized,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",4,4,4,0,4,3,4,4,1,0,4,4,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,4,1,4,4,4,4
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,5,"HSS (VI-XII)",1,"Department of Education",2,2,2,0,2,2,2,2,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,5,"HSS (VI-XII)",4,"Government Aided",1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,5,"HSS (VI-XII)",5,"Private Unaided (Recognized)",1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,6,"SS (I-X)",5,"Private Unaided (Recognized)",4,4,4,0,4,1,4,4,0,0,4,4,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,0,4,3,4,4,4,4
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Rural,7,"SS (VI-X)",1,"Department of Education",6,5,3,0,6,2,6,6,0,0,5,6,1,5,2,6,6,6,6,6,6,6,5,6,6,6,6,6,6,3,6,5,6,6,6,6,6,6
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Urban,1,"PS (I-V)",1,"Department of Education",18,18,9,1,18,1,18,18,0,0,14,18,0,9,4,18,18,18,18,18,18,18,17,18,18,18,18,18,18,8,18,0,18,16,18,15,0,9
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Urban,1,"PS (I-V)",4,"Government Aided",10,10,6,0,1,1,10,10,0,0,8,10,0,4,1,10,10,10,10,10,10,9,9,9,9,10,10,8,10,2,10,0,10,3,10,8,1,1
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Urban,1,"PS (I-V)",5,"Private Unaided (Recognized)",12,12,12,0,7,3,12,12,1,0,12,12,1,4,1,12,12,12,12,12,12,12,11,12,12,12,12,11,12,2,12,0,12,1,10,8,9,11
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Urban,2,"UPS (I-VIII)",1,"Department of Education",10,10,8,0,10,3,10,10,2,0,10,10,0,4,4,10,9,10,10,10,10,9,9,9,9,10,10,10,10,3,10,1,10,10,10,10,0,10
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Urban,2,"UPS (I-VIII)",4,"Government Aided",1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Urban,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",5,5,5,0,5,3,5,5,0,0,5,5,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,5,1,5,3,4,3,5,5
