Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,1,"PS (I-V)",3,"Local body",10,10,10,1,10,0,10,10,4,0,3,10,0,0,2,9,9,10,10,10,10,10,10,10,10,10,10,1,9,0,10,0,10,10,10,4,0,9
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,1,"PS (I-V)",4,"Government Aided",23,23,17,0,6,3,23,23,0,0,18,23,0,4,0,23,23,23,23,23,23,21,21,21,21,23,23,12,23,3,23,0,23,23,20,10,1,3
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,1,"PS (I-V)",5,"Private Unaided (Recognized)",32,32,29,1,20,9,32,32,1,0,32,32,0,7,3,32,32,32,32,32,32,31,30,31,31,32,32,27,27,11,32,1,32,31,14,6,18,24
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,1,"PS (I-V)",8,Unrecognized,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,1,"PS (I-V)",90,"Social welfare Department",1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,2,"UPS (I-VIII)",3,"Local body",6,6,6,0,6,1,6,6,1,0,4,6,0,1,0,6,6,6,6,6,6,6,6,6,6,6,6,2,6,1,6,4,6,6,6,5,0,6
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,2,"UPS (I-VIII)",4,"Government Aided",12,11,12,0,9,3,12,12,0,0,11,12,0,4,1,12,12,12,12,12,12,10,10,10,10,12,12,7,12,1,12,0,12,12,11,11,2,9
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,2,"UPS (I-VIII)",90,"Social welfare Department",1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,3,"HSS (I-XII)",4,"Government Aided",2,2,2,0,2,0,2,2,0,0,2,2,1,1,0,2,2,2,2,2,2,1,1,1,1,2,2,2,2,0,2,1,2,2,1,1,2,2
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",9,9,9,0,9,3,9,9,0,0,8,9,0,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,9,8,9,3,7,9
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,3,"HSS (I-XII)",90,"Social welfare Department",2,2,2,0,2,0,2,2,0,0,2,2,0,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,2
2019-20,33,Tamilnadu,3321,THANJAVUR,332101,THANJAVUR(URBAN),Urban,5,"HSS (VI-XII)",1,"Department of Education",2,2,2,0,2,1,2,2,0,0,1,2,0,0,0,1,1,1,1,2,2,1,1,2,2,2,2,2,2,0,2,1,2,2,2,2,0,2
