ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333002,AGASTHEESWARAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,7,6,11,10,12,8,12,10,0,0,0,0,7,9,11,10,6,12,9,11,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333003,RAJAKKAMANGALAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,25,26,15,13,16,11,16,15,0,0,0,0,23,17,23,11,14,15,10,20,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333004,KURUNTHANCODE,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,13,8,13,12,24,19,20,11,0,0,0,0,1,4,2,6,3,0,2,2,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333005,THUCKALAY,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,21,20,10,15,6,12,11,20,0,0,0,0,19,18,14,11,10,13,15,15,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333006,THIRUVATTAR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,20,8,12,18,14,23,28,35,0,0,0,0,15,19,15,14,24,22,18,29,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333007,MELPURAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,10,7,9,15,12,8,19,12,0,0,0,0,11,11,4,6,11,14,14,15,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333009,MUNCHIRAI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,28,26,26,31,26,26,38,27,0,0,0,0,27,33,28,41,34,44,40,40,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333001,THOVALAI,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,13,12,13,14,14,25,25,30,0,0,0,0,18,11,8,19,15,15,30,34,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333002,AGASTHEESWARAM,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,5,0,6,4,1,4,1,2,0,0,0,0,6,3,2,4,3,3,1,1,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333003,RAJAKKAMANGALAM,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,2,4,5,5,6,11,15,10,0,0,0,0,5,3,8,8,7,16,13,8,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333004,KURUNTHANCODE,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,12,4,5,13,11,10,9,13,0,0,0,0,10,7,11,13,6,7,11,10,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333006,THIRUVATTAR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,14,6,7,8,11,3,7,10,0,0,0,0,3,10,5,4,9,7,9,1,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333007,MELPURAM,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,8,8,9,14,8,12,14,9,0,0,0,0,4,6,14,12,20,16,5,16,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333008,KILLIYOOR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,2,4,0,2,2,3,4,1,0,0,0,0,3,2,2,1,2,3,1,5,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333009,MUNCHIRAI,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,12,3,19,16,15,19,14,20,0,0,0,0,11,7,16,9,14,13,16,15,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333001,THOVALAI,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,25,27,19,11,9,4,9,6,6,0,0,0,0,0,14,6,9,6,7,0,3,0,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333002,AGASTHEESWARAM,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,153,130,72,54,42,34,33,21,10,10,0,0,0,0,50,37,37,28,17,12,6,7,0,0,0,0
2019-20,33,Tamilnadu,3330,KANNIYAKUMARI,333003,RAJAKKAMANGALAM,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,2,0,10,6,5,7,5,5,4,1,0,0,0,0,3,6,5,4,5,0,2,3,0,0,0,0
