ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3324,MADURAI,332406,"MADURAI EAST",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,11,11,3,4,5,4,2,8,2,2,0,0,0,0,9,2,4,1,3,6,3,2,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332407,"MADURAI WEST",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,23,20,6,5,9,13,10,7,5,2,0,0,0,0,9,6,8,6,7,6,7,4,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332411,THIRUPARAMKUNDRAM,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,99,95,29,41,31,34,31,48,41,30,0,0,0,0,34,41,33,57,34,47,47,37,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332414,"MADURAI NORTH",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,22,36,5,4,6,9,4,9,2,4,0,0,0,0,15,1,12,3,6,4,3,5,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332415,"MADURAI SOUTH",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,35,32,6,4,10,5,5,8,7,4,0,0,0,0,5,8,7,7,11,5,4,8,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332404,T.KALLUPATTI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,2,3,3,3,3,8,7,6,0,0,0,0,4,2,3,4,1,4,2,1,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332407,"MADURAI WEST",Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,40,39,47,54,56,61,54,54,0,0,0,0,48,60,39,54,58,44,51,44,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332408,MELUR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,3,4,5,8,8,11,7,14,0,0,0,0,10,4,5,6,6,10,8,12,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332409,SEDAPATTI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,5,5,3,14,7,8,8,13,0,0,0,0,4,4,9,9,7,11,8,2,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332411,THIRUPARAMKUNDRAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,3,2,4,6,3,3,1,4,0,0,0,0,1,2,2,6,5,7,6,2,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332413,T.VADIPATTI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,2,6,1,2,5,4,8,8,0,0,0,0,0,2,4,2,0,7,6,6,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332414,"MADURAI NORTH",Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,126,117,175,194,192,284,249,242,0,0,0,0,104,108,115,130,127,169,141,137,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332406,"MADURAI EAST",Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,22,21,19,10,15,14,19,11,0,0,0,0,19,14,18,17,12,9,13,15,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332407,"MADURAI WEST",Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,80,91,78,95,101,122,114,126,0,0,0,0,59,75,75,106,96,88,100,105,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332408,MELUR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,27,49,53,56,52,101,75,78,0,0,0,0,42,46,60,57,74,58,68,71,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332411,THIRUPARAMKUNDRAM,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,58,50,82,87,64,76,67,73,0,0,0,0,63,68,71,61,78,75,54,54,0,0,0,0
2019-20,33,Tamilnadu,3324,MADURAI,332412,USILAMPATTI,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,27,22,24,29,22,37,44,46,0,0,0,0,26,24,35,26,23,34,35,38,0,0,0,0
