ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3308,SALEM,330809,SALEM-RURAL,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,0,0,1,0,1,0,2,4,2,2,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330812,EDAPPADI,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,20,27,24,19,23,33,37,48,42,44,0,0,0,0,13,25,26,31,42,37,38,29,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330813,ATTUR,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,13,12,14,8,14,21,13,32,24,26,0,0,0,0,15,6,10,14,29,19,18,16,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330821,SALEM-URBAN,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,65,61,38,32,42,40,52,67,54,46,0,0,0,0,31,28,38,35,49,58,48,50,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330817,OMALUR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,8,6,10,10,10,12,16,15,0,0,0,0,4,10,12,6,16,9,13,7,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330801,GANGAVALLI,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,10,3,10,5,9,9,8,11,0,0,0,0,3,6,7,12,5,8,7,11,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330813,ATTUR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,14,7,14,17,24,55,50,53,0,0,0,0,13,23,23,16,29,37,32,44,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330815,KOLATHUR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,3,3,4,8,7,8,3,16,0,0,0,0,1,2,3,4,8,8,5,10,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330821,SALEM-URBAN,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,94,73,90,113,98,74,91,61,0,0,0,0,39,34,35,44,47,48,39,39,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330801,GANGAVALLI,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,48,35,18,11,21,16,18,5,0,0,0,0,0,0,16,18,11,12,16,2,0,0,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330802,PETHANAICKENPALAYAM,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,29,18,11,16,14,11,6,6,4,3,0,0,0,0,12,6,9,10,7,15,6,3,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330807,THALAIVASAL,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,7,5,3,6,5,10,3,7,5,6,0,0,0,0,1,3,3,3,7,2,3,6,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330813,ATTUR,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,22,21,18,12,23,15,13,13,7,22,0,0,0,0,14,11,6,8,6,7,3,7,0,0,0,0
2019-20,33,Tamilnadu,3308,SALEM,330814,AYOTHIYAPATTINAM,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,5,5,1,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
