Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,1,"PS (I-V)",1,"Department of Education",78,77,52,1,78,21,78,78,2,0,60,78,0,13,11,78,78,74,74,78,78,74,72,77,77,78,78,38,78,24,78,2,78,77,76,55,0,42
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,1,"PS (I-V)",4,"Government Aided",3,3,2,0,1,2,3,3,0,0,3,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,0,3,3,3,3,0,0
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",10,10,7,0,6,6,10,10,0,0,10,10,0,3,1,10,10,10,10,10,10,9,9,9,9,10,10,8,9,2,10,0,10,3,10,8,6,8
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,2,"UPS (I-VIII)",1,"Department of Education",26,26,20,0,26,8,26,26,2,0,24,26,0,9,7,26,26,26,26,26,26,26,26,26,26,26,26,17,25,15,26,14,26,24,25,24,0,25
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,2,"UPS (I-VIII)",4,"Government Aided",1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,2,"UPS (I-VIII)",8,Unrecognized,5,5,5,0,4,4,5,5,0,0,5,5,0,2,0,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,0,5,1,5,2,3,4
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",8,8,8,0,6,6,8,8,1,0,8,8,5,6,1,8,8,8,8,8,8,7,6,7,7,8,8,7,7,2,8,2,8,6,7,5,7,7
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,5,"HSS (VI-XII)",1,"Department of Education",8,8,7,0,8,6,8,8,0,0,8,8,0,4,0,8,8,8,8,8,8,8,8,8,8,8,8,5,8,3,8,7,8,8,7,7,7,8
2019-20,33,Tamilnadu,3323,SIVAGANGAI,332301,SIVAGANGAI,Rural,5,"HSS (VI-XII)",4,"Government Aided",1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
