Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,1,"PS (I-V)",1,"Department of Education",75,75,47,3,75,30,75,75,0,0,73,75,1,21,12,75,74,75,75,75,75,71,71,73,73,75,75,21,69,39,75,1,75,75,74,68,0,28
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,1,"PS (I-V)",4,"Government Aided",9,9,6,0,1,3,9,9,1,0,9,9,0,1,3,8,8,9,9,9,9,8,8,8,8,9,9,1,7,3,9,0,9,7,8,8,0,3
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",7,7,6,0,2,0,7,7,0,0,7,7,0,1,0,7,7,7,7,7,7,7,7,7,7,7,7,0,5,1,7,0,7,1,4,2,1,3
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,2,"UPS (I-VIII)",1,"Department of Education",18,18,11,0,18,9,18,18,0,0,17,18,0,5,7,17,17,18,18,18,18,16,17,17,17,18,18,11,17,4,18,8,18,18,16,16,1,18
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,2,"UPS (I-VIII)",4,"Government Aided",4,4,4,0,4,1,4,4,0,0,4,4,0,3,1,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,0,4,4,4,4,3,3
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,5,"HSS (VI-XII)",1,"Department of Education",6,6,3,0,6,4,6,6,0,0,6,6,0,4,0,4,4,5,5,6,6,3,4,5,5,6,6,4,6,4,6,4,6,6,6,6,4,6
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,5,"HSS (VI-XII)",4,"Government Aided",4,4,4,0,3,2,4,4,0,1,4,4,0,2,0,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,0,4,2,4,4,4,4
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,6,"SS (I-X)",5,"Private Unaided (Recognized)",1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,7,"SS (VI-X)",1,"Department of Education",6,6,1,0,6,3,6,6,0,0,5,6,0,3,1,6,6,6,6,6,6,4,3,4,4,6,6,1,4,2,6,4,6,6,6,6,5,6
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,7,"SS (VI-X)",5,"Private Unaided (Recognized)",1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Urban,1,"PS (I-V)",1,"Department of Education",5,5,4,0,5,1,5,5,0,0,3,5,0,1,2,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,0,5,5,5,5,1,4
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Urban,1,"PS (I-V)",4,"Government Aided",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Urban,2,"UPS (I-VIII)",1,"Department of Education",1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
