Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,1,"PS (I-V)",1,"Department of Education",55,53,48,3,55,20,55,55,1,0,46,55,1,5,13,55,53,54,52,55,55,46,45,49,49,55,55,15,49,13,55,0,55,52,54,41,0,41
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,1,"PS (I-V)",2,"Tribal Welfare Department",1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,1,"PS (I-V)",4,"Government Aided",14,14,10,1,4,7,14,14,0,0,11,14,0,3,2,14,14,14,14,14,14,14,14,14,14,14,14,2,11,0,14,0,14,11,14,11,1,2
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",11,11,8,0,6,3,11,11,0,0,11,11,0,3,0,11,11,11,11,11,11,11,11,11,11,11,11,8,8,1,11,0,11,7,10,7,6,10
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,2,"UPS (I-VIII)",1,"Department of Education",14,14,14,0,14,9,14,14,1,0,12,14,0,3,5,14,12,14,14,14,14,12,13,13,13,14,14,6,13,5,14,1,14,14,13,13,2,14
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,2,"UPS (I-VIII)",4,"Government Aided",4,4,4,0,1,1,4,4,0,0,4,4,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,0,4,4,3,3,3,4
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,2,"UPS (I-VIII)",6,"Other Govt. managed schools",1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",3,3,3,0,3,1,3,3,1,0,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,2,3,0,3,2,3,3
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,5,"HSS (VI-XII)",1,"Department of Education",12,12,12,0,12,8,12,12,0,0,12,12,0,2,2,10,10,11,11,12,12,10,10,11,11,12,12,6,11,1,12,6,12,10,12,8,11,12
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,5,"HSS (VI-XII)",5,"Private Unaided (Recognized)",2,2,2,0,1,1,2,2,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,0,2,1,2,1,2,2
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,6,"SS (I-X)",5,"Private Unaided (Recognized)",1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,7,"SS (VI-X)",1,"Department of Education",15,15,9,0,15,7,15,15,1,0,13,15,0,7,8,15,15,15,15,15,15,13,10,13,13,15,15,9,11,2,15,10,15,15,14,13,12,15
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,7,"SS (VI-X)",2,"Tribal Welfare Department",1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,7,"SS (VI-X)",4,"Government Aided",1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Rural,7,"SS (VI-X)",5,"Private Unaided (Recognized)",3,3,2,0,3,2,3,3,0,0,3,3,1,2,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,0,3,1,3,2,2,3
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Urban,1,"PS (I-V)",1,"Department of Education",1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Urban,1,"PS (I-V)",5,"Private Unaided (Recognized)",2,2,2,0,0,0,2,2,1,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,0,2,0,2,2
2019-20,33,Tamilnadu,3316,PERAMBALUR,331602,VEPPUR,Urban,1,"PS (I-V)",8,Unrecognized,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1
