Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,1,"PS (I-V)",1,"Department of Education",37,35,26,4,37,19,37,37,1,0,28,37,0,3,2,32,32,36,36,37,37,28,28,33,33,37,37,19,28,12,37,0,37,27,36,32,0,23
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,1,"PS (I-V)",2,"Tribal Welfare Department",4,4,3,0,4,1,4,4,0,0,4,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,3,4,3,0,3
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,1,"PS (I-V)",3,"Local body",1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,1,"PS (I-V)",4,"Government Aided",10,9,6,0,3,3,10,10,0,0,9,10,0,2,2,8,8,9,9,10,10,5,4,6,6,10,10,2,6,2,10,0,10,4,8,8,1,2
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",15,14,15,0,9,5,15,15,0,0,15,15,1,4,0,15,15,15,15,15,15,14,14,14,14,15,15,11,10,10,15,0,15,3,13,5,8,11
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,2,"UPS (I-VIII)",1,"Department of Education",9,8,8,0,9,4,9,9,0,0,9,9,0,2,1,9,9,8,8,9,9,8,7,8,8,9,9,5,9,4,9,0,9,9,9,8,0,9
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,2,"UPS (I-VIII)",4,"Government Aided",1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",4,4,3,0,4,2,4,4,1,0,4,4,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,4,2,3,1,4,4
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,3,"HSS (I-XII)",92,"Kendriya Vidyalaya / Central School",2,2,1,0,2,2,2,2,1,0,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,0,2,2
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,5,"HSS (VI-XII)",1,"Department of Education",3,3,2,0,3,3,3,3,0,0,3,3,0,3,0,3,3,3,3,3,3,2,3,3,3,3,3,1,3,0,3,1,3,3,3,3,3,3
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,5,"HSS (VI-XII)",2,"Tribal Welfare Department",1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
