Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,1,"PS (I-V)",1,"Department of Education",55,55,44,0,55,7,55,55,0,0,9,55,0,13,8,55,53,55,54,55,55,51,54,55,55,55,55,26,53,3,55,0,55,50,53,28,0,40
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,1,"PS (I-V)",2,"Tribal Welfare Department",3,3,3,0,3,0,3,3,0,0,1,3,0,3,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,3,0,3,2,3,2,0,3
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,1,"PS (I-V)",4,"Government Aided",8,8,4,0,0,1,8,8,0,0,4,8,0,0,1,8,8,8,8,8,8,7,7,7,7,8,8,1,5,0,8,0,8,6,8,3,0,0
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",2,2,2,0,2,1,2,2,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,1,2,1,1,2
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,1,"PS (I-V)",90,"Social welfare Department",15,15,14,0,15,4,15,15,0,0,2,15,0,4,5,15,14,15,15,15,15,12,14,14,14,15,15,11,13,2,15,0,15,13,15,11,0,12
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,2,"UPS (I-VIII)",1,"Department of Education",17,17,16,0,17,2,17,17,0,0,5,17,0,5,2,16,14,17,17,17,17,15,16,17,17,17,17,10,16,3,17,2,17,17,17,17,3,17
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,2,"UPS (I-VIII)",4,"Government Aided",3,3,1,0,2,1,3,3,0,0,3,3,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,0,3,3,3,1,0,2
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,2,"UPS (I-VIII)",90,"Social welfare Department",1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",2,2,2,0,2,1,2,2,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,0,2,0,1,2
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,5,"HSS (VI-XII)",1,"Department of Education",7,7,7,0,7,4,7,7,0,0,6,7,0,1,2,7,6,7,7,7,7,6,7,7,7,7,7,3,6,3,7,6,7,7,7,7,5,7
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,5,"HSS (VI-XII)",2,"Tribal Welfare Department",2,2,2,0,2,0,2,2,0,0,1,2,1,2,0,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,5,"HSS (VI-XII)",90,"Social welfare Department",3,2,3,0,3,0,3,3,0,0,2,3,0,2,0,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,7,"SS (VI-X)",1,"Department of Education",7,7,4,0,7,5,7,7,0,0,3,7,0,4,1,7,6,7,7,7,7,4,5,5,5,7,7,1,5,0,7,7,7,6,7,7,5,7
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Rural,7,"SS (VI-X)",2,"Tribal Welfare Department",1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
2019-20,33,Tamilnadu,3325,THENI,332501,AUNDIPATTY,Urban,1,"PS (I-V)",1,"Department of Education",5,5,3,0,5,2,5,5,0,0,0,5,0,2,3,5,4,5,5,5,5,5,5,5,5,5,5,2,5,1,5,0,5,4,4,2,0,4
