Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,1,"PS (I-V)",1,"Department of Education",59,53,52,3,59,18,59,59,0,0,39,59,2,34,24,59,59,59,59,59,59,48,48,52,52,59,59,50,48,27,59,0,59,40,56,46,0,38
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,1,"PS (I-V)",2,"Tribal Welfare Department",2,2,2,1,2,0,2,2,1,0,2,2,0,1,0,2,2,2,2,2,2,2,1,2,2,2,2,1,1,0,2,0,2,1,2,2,0,2
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,1,"PS (I-V)",3,"Local body",1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,1,"PS (I-V)",4,"Government Aided",9,8,6,0,3,4,9,9,0,0,9,9,0,1,3,8,8,9,9,9,9,6,5,7,7,9,9,8,8,4,9,0,9,4,8,5,0,0
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",5,5,4,0,4,4,5,5,0,0,5,5,0,1,0,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,5,0,5,0,5,3,3,4
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,2,"UPS (I-VIII)",1,"Department of Education",15,13,12,1,15,6,15,15,0,0,12,15,0,7,5,15,15,15,15,15,15,15,14,15,15,15,15,15,12,5,15,3,15,12,15,15,0,15
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,2,"UPS (I-VIII)",2,"Tribal Welfare Department",2,1,2,0,2,0,2,2,0,0,2,2,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,0,2,1,2,2,0,2
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,2,"UPS (I-VIII)",3,"Local body",1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,2,"UPS (I-VIII)",4,"Government Aided",2,2,2,0,1,0,2,2,0,0,2,2,0,0,0,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,0,2,2,2,2,0,2
2019-20,33,Tamilnadu,3311,"THE NILGIRIS",331101,UDHAGAMANDALAM,Rural,3,"HSS (I-XII)",1,"Department of Education",1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
