ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3312,COIMBATORE,331212,"POLLACHI SOUTH",Rural,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,11,7,3,4,2,2,6,3,0,3,0,0,0,0,0,4,1,4,2,1,4,1,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331201,"COIMBATORE CITY",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,57,68,27,32,30,37,25,32,24,16,0,0,0,0,18,15,29,24,19,12,10,9,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331204,PERUR,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,60,56,30,41,42,43,40,51,34,41,0,0,0,0,27,44,30,37,46,39,43,39,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331205,"SARKAR SAMAKKULAM",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,35,26,44,49,45,59,66,47,51,34,0,0,0,0,38,48,48,53,55,29,39,25,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331212,"POLLACHI SOUTH",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,57,50,40,38,37,43,41,65,60,30,0,0,0,0,32,31,38,25,26,41,22,30,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331206,THONDAMUTHUR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,5,7,5,8,5,11,5,8,0,0,0,0,5,3,12,6,4,8,8,3,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331209,KINATHUKKADAVU,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,5,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331201,"COIMBATORE CITY",Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,1,4,3,3,5,6,7,8,0,0,0,0,80,128,140,150,153,170,155,158,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331202,MADUKKARAI,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,9,8,4,7,12,5,10,10,0,0,0,0,2,5,6,5,5,10,9,7,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331203,"PERIYANAICKAN PALAYAM",Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,14,15,23,27,29,32,36,38,0,0,0,0,21,7,20,16,19,25,23,12,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331204,PERUR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,69,69,80,91,93,91,86,86,0,0,0,0,70,75,75,82,94,80,83,72,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331205,"SARKAR SAMAKKULAM",Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,33,49,35,33,48,42,54,34,0,0,0,0,26,13,15,16,18,17,15,1,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331209,KINATHUKKADAVU,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331212,"POLLACHI SOUTH",Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,23,24,25,35,28,30,37,45,0,0,0,0,21,22,28,17,21,27,26,19,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331214,VALPARAI,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,1,1,1,4,2,3,5,5,0,0,0,0,0,0,0,3,5,4,6,3,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331217,KARAMADAI,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,15,24,23,21,24,52,38,47,0,0,0,0,19,22,15,27,25,26,24,20,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331202,MADUKKARAI,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,10,13,9,5,7,7,3,3,2,0,0,0,0,0,4,8,12,3,3,3,0,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331203,"PERIYANAICKAN PALAYAM",Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,5,10,4,3,2,1,1,0,1,0,0,0,0,0,4,8,1,0,7,3,2,1,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331207,ANAIMALAI,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,2,2,5,4,4,0,5,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331209,KINATHUKKADAVU,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,77,59,28,32,24,32,14,12,15,0,0,0,0,0,39,27,36,20,24,16,9,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331211,"POLLACHI NORTH",Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,42,38,25,20,13,11,19,17,8,7,0,0,0,0,12,9,16,5,14,9,8,6,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331212,"POLLACHI SOUTH",Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,44,43,13,9,11,5,0,4,0,0,0,0,0,0,4,12,9,0,0,0,0,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331215,ANNUR,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,22,21,9,12,12,16,19,5,4,1,0,0,0,0,16,12,8,14,12,5,5,3,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331217,KARAMADAI,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,13,17,8,4,5,3,2,2,7,3,0,0,0,0,4,3,5,5,7,0,3,2,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331220,SULTHANPET,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,0,0,0,12,8,6,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331221,SULUR,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,61,52,20,14,25,14,8,6,5,0,0,0,0,0,28,14,18,10,4,6,5,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331201,"COIMBATORE CITY",Urban,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,0,0,7,5,4,0,3,2,1,2,0,0,0,0,2,3,2,0,1,0,0,3,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331202,MADUKKARAI,Urban,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,3,1,0,1,3,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331203,"PERIYANAICKAN PALAYAM",Urban,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,24,17,12,20,15,17,9,6,4,4,0,0,0,0,7,8,7,9,3,9,1,1,0,0,0,0
2019-20,33,Tamilnadu,3312,COIMBATORE,331204,PERUR,Urban,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,23,16,17,14,12,13,16,6,9,12,0,0,0,0,11,10,7,11,8,9,6,2,0,0,0,0
