ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3304,VELLORE,330417,MADHANUR,Rural,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,0,0,2,6,5,5,9,10,6,7,0,0,0,0,1,2,4,4,2,5,11,5,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,19,18,7,12,2,16,16,15,7,9,0,0,0,0,11,10,9,16,11,13,9,9,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330406,"WALAJA EAST",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,39,34,24,15,26,41,40,38,42,35,0,0,0,0,20,32,34,36,37,26,44,22,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330410,"VELLORE URBAN",Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,62,86,38,59,64,67,65,72,71,59,0,0,0,0,60,40,48,71,55,62,56,54,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330415,GUDIYATHAM,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,0,0,10,9,6,3,7,1,8,7,0,0,0,0,3,6,9,11,6,7,4,5,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330417,MADHANUR,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,21,13,19,15,17,15,12,10,18,10,0,0,0,0,17,16,21,18,10,17,10,13,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330419,NATRAMPALLI,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,0,25,16,20,20,26,26,24,37,26,0,0,0,0,81,100,105,118,116,114,118,110,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330421,THIRUPATTUR,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,13,15,8,7,11,16,15,18,29,25,0,0,0,0,12,9,8,7,9,21,23,17,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330401,ARAKKONAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,1,3,1,2,1,7,6,6,0,0,0,0,1,1,4,5,0,8,5,3,0,0,0,0
2019-20,33,Tamilnadu,3304,VELLORE,330403,KAVERIPAKKAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,3,6,6,2,6,6,13,14,0,0,0,0,5,4,7,8,7,14,8,5,0,0,0,0
