ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330607,ARNI,Rural,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,0,0,16,26,21,30,22,29,24,17,0,0,0,0,12,11,17,18,18,24,17,19,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330602,CHEYYAR,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,0,0,12,16,24,19,22,28,24,20,0,0,0,0,16,18,21,18,19,16,22,15,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330607,ARNI,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,22,21,19,19,26,26,25,21,30,21,0,0,0,0,19,6,25,13,12,23,18,12,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330614,TIRUVANNAMALAI,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,16,14,22,21,23,33,38,44,30,31,0,0,0,0,24,20,26,25,34,37,29,31,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330604,PERANAMALLUR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,5,4,4,5,2,3,3,1,0,0,0,0,2,2,3,1,1,6,1,7,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330608,"WEST ARNI",Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,1,5,5,2,7,10,10,7,0,0,0,0,1,2,4,7,5,10,10,8,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330610,KALASAPAKKAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,10,11,17,18,13,17,19,20,0,0,0,0,9,9,11,10,18,26,30,30,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330611,CHETPET,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,3,11,10,10,5,13,9,10,0,0,0,0,11,6,5,7,9,9,10,10,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330612,THURINJAPURAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,6,7,5,8,11,4,13,9,0,0,0,0,2,5,5,8,8,6,9,10,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330614,TIRUVANNAMALAI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,18,9,18,15,17,12,14,20,0,0,0,0,15,13,9,11,12,14,14,15,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330617,THANDRAMPET,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,10,14,16,16,18,24,14,18,0,0,0,0,17,16,11,26,18,18,14,15,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330606,THELLAR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,6,7,7,13,9,10,9,8,0,0,0,0,7,6,3,11,8,8,14,9,0,0,0,0
2019-20,33,Tamilnadu,3306,TIRUVANNAMALAI,330609,POLUR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,7,8,12,20,13,26,31,28,0,0,0,0,5,7,10,11,19,18,22,15,0,0,0,0
