ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3333,TIRUPPUR,333313,UDUMALAIPATTAI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,3,1,3,1,5,4,5,6,0,0,0,0,1,2,7,1,1,3,5,6,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333318,PALLADAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,13,18,11,15,17,23,10,24,0,0,0,0,21,13,25,23,17,19,11,11,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333306,DHARAPURAM,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,2,0,3,0,3,3,2,5,0,0,0,0,2,1,0,1,0,1,0,1,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333318,PALLADAM,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,19,16,24,24,35,42,48,37,0,0,0,0,25,16,20,24,25,33,62,52,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333322,TIRUPUR,Urban,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,16,17,15,23,24,22,28,28,0,0,0,0,17,10,13,12,21,21,25,28,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333309,GANGAYAM,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,56,50,13,21,14,14,13,10,7,0,0,0,0,0,14,15,2,1,4,6,2,0,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333313,UDUMALAIPATTAI,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,18,14,10,17,5,33,126,174,90,134,0,0,0,0,9,16,3,4,8,18,10,11,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333316,AVINACI,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,37,39,20,15,18,16,14,13,18,14,0,0,0,0,14,25,21,19,25,20,11,11,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333317,PONGALUR,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,43,41,15,9,14,6,1,8,0,1,0,0,0,0,15,8,2,10,5,2,2,2,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333318,PALLADAM,Rural,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,79,79,28,25,26,26,19,8,11,0,0,0,0,0,23,22,26,19,15,10,4,0,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333312,MOOLANUR,Urban,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,23,13,6,3,4,7,1,2,0,2,0,0,0,0,11,3,2,8,6,4,3,1,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333320,VELLACKOIL,Urban,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,45,26,13,17,15,10,5,13,6,10,0,0,0,0,13,10,13,16,13,4,11,7,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333322,TIRUPUR,Urban,2,cat2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",4,OBC,295,251,173,123,141,138,113,95,79,37,0,0,0,0,130,111,134,95,103,83,39,30,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333311,GUNDADAM,Rural,2,cat2,"UPS (I-VIII)",6,"Other Govt. managed schools",4,OBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,10,11,7,11,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333312,MOOLANUR,Rural,2,cat2,"UPS (I-VIII)",6,"Other Govt. managed schools",4,OBC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,10,15,15,0,0,0,0
2019-20,33,Tamilnadu,3333,TIRUPPUR,333316,AVINACI,Urban,2,cat2,"UPS (I-VIII)",6,"Other Govt. managed schools",4,OBC,0,0,0,0,2,5,3,6,9,0,0,0,0,0,0,1,1,1,2,4,4,0,0,0,0,0
